ID,NAME,us_city,us_state_code,SOURCE
SGR,"HULL FIELD, SUGAR LAND ARPT, TX",SUGAR LAND,TX,Udacity
SHA,"Shannon, Ireland",,,State Department
SHR,"Sherwood, ND",Sherwood,ND,State Department
SJO,"St. John, ND",St. John,ND,State Department
SKA,"Skagway, AK",Skagway,AK,State Department
SLC,"Salt Lake City, UT",Salt Lake City,UT,State Department
SLI,"SAN LUIS OBISPO, CA (BPS)",San Luis Obispo,CA,Udacity
SLO,"San Luis Obispo, CA",San Luis Obispo,CA,State Department
SLP,"SAN LUIS POTOSI #ARPT, MEXICO",,,Udacity
SLS,"SALINAS, CA (BPS)",SALINAS,CA,Udacity
SLU,"San Luis, AZ",San Luis,AZ,State Department
SNA,"San Antonio, TX",San Antonio,TX,State Department
SND,"San Diego, CA",San Diego,CA,State Department
SNJ,"San Jose, CA",San Jose,CA,State Department
SNN,"Shannon, Ireland",,,State Department
SNO,"SAKON NAKHON #ARPT, THAILAND",,,Udacity
SNP,"ST. PAUL ISLAND, AK",St Paul,AK,Udacity
SP0,No PORT Code (SP0),,,Udacity
SPA,"St. Pamphile, ME",St. Pamphile,ME,State Department
SPC,"San Pedro, CA",San Pedro,CA,State Department
SPE,"St. Petersburg, FL",St. Petersburg,FL,State Department
SPF,"BLACK HILLS, SPEARFISH, SD",SPEARFISH,SD,Udacity
SPI,"CAPITAL - SPRINGFIELD, IL",SPRINGFIELD,IL,Udacity
SPM,"St. Paul, MN",St. Paul,MN,State Department
SPN,Saipan,Saipan,,State Department
SPO,"Spokane, WA",Spokane,WA,State Department
SPV,"PAPUA, NEW GUINEA",,,Udacity
SRL,"St. Aurelie, ME",St. Aurelie,ME,State Department
SRO,"SANTANA RAMOS #ARPT, COLOMBIA",,,Udacity
SRQ,"BRADENTON - SARASOTA, FL",SARASOTA,FL,Udacity
SSB,"Sanford, Fl",Sanford,Fl,State Department
SSC,"SHAW AFB - SUMTER, NC",SUMTER,NC,Udacity
SSM,"Sault Ste. Marie, MI",Sault Ste. Marie,MI,State Department
STA,"St. Albans, VT",St. Albans,VT,State Department
STJ,"St. John, USVI",St. John,VI,State Department
STL,"St. Louis, MO",St. Louis,MO,State Department
STN,Collapsed (STR) 06/15,Santa Teresa,NM,Udacity
